,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Garmin Fenix 6S Pro - Unisex,Garmin,949.99,0,4.3,99,camping-and-hiking,2020-10-17
Forsake Patch Waterproof Light Hiking Boots - Women's,Forsake,189.95,50,4.6,207,camping-and-hiking,2020-10-17
Keen Targhee III Low Waterproof Light Trail Shoes - Women's,Keen,179.95,0,5,1,camping-and-hiking,2020-10-17
Petzl Tikka Headlamp,Petzl,39.95,0,3.9,7,camping-and-hiking,2020-10-17
La Sportiva Nucleo High Gore-Tex Surround Light Trail Shoes - Women's,La Sportiva,249.95,0,4.7,22,camping-and-hiking,2020-10-17
MEC Mochilero Cargo Pants - Men's,MEC,89.95,0,5,1,camping-and-hiking,2020-10-17
MEC Prospect Fleece Jacket - Men's,MEC,114.95,0,3,6,camping-and-hiking,2020-10-17
La Sportiva Spire Gore-Tex Surround Light Trail Shoes - Men's,La Sportiva,209.95,0,4.6,16,camping-and-hiking,2020-10-17
Fjallraven Vidda Pro Ventilated Trousers - Men's,Fjallraven,199.95,0,4,1,camping-and-hiking,2020-10-17
Scarpa Kinesis Pro Gore-Tex Backpacking Boots - Men's,Scarpa,419.95,0,4.1,9,camping-and-hiking,2020-10-17
Arc'teryx Covert Cardigan - Women's,Arc'teryx,199.95,0,4.4,22,camping-and-hiking,2020-10-17
Salomon Vaya Gore-Tex Light Trail Shoes - Women's,Salomon,169.95,0,4.3,14,camping-and-hiking,2020-10-17
MEC T3 Long Johns - Men's,MEC,44.95,0,3.7,25,camping-and-hiking,2020-10-17
Arc'teryx Gamma LT Pants - Women's,Arc'teryx,199.95,20,4.4,25,camping-and-hiking,2020-10-17
MEC Aura Hoodie - Women's,MEC,149.95,0,5,1,camping-and-hiking,2020-10-17
Merrell Moab 2 Mid Waterproof Light Trail Shoes - Men's,Merrell,179.95,0,3.2,12,camping-and-hiking,2020-10-17
Vasque St. Elias FG Gore-Tex Backpacking Boots - Women's,Vasque,239.95,0,4.8,8,camping-and-hiking,2020-10-17
Prana Winter Hallena Pants - Women's,Prana,95.97,20,4.6,8,camping-and-hiking,2020-10-17
