,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
MEC Surprise Gloves 2019 - Men's,MEC,39.95,0,4.7,6,clothing,2020-10-17
MEC Aura Vest - Men's,MEC,99.95,0,0,0,clothing,2020-10-17
MEC Peak Comfort AirGrid Lite Base Layer Bottoms - Men's,MEC,39.95,0,0,0,clothing,2020-10-17
Tentree Juniper Classic Hoodie - Men's,Tentree,77.95,0,0,0,clothing,2020-10-17
Xcel Ventx Heather Long Sleeve - Men's,Xcel,41.94,30,4.7,3,clothing,2020-10-17
Tentree Henley Classic Long Sleeve - Men's,Tentree,44.95,0,0,0,clothing,2020-10-17
MEC Synergy Gore-Tex Pants - Men's,MEC,169.93,48,3.5,13,clothing,2020-10-17
MEC In-Flight Hoodie - Men's,MEC,94.95,30,3.5,2,clothing,2020-10-17
"Prana Ulterior Pant 32"" Inseam - Men's",Prana,79.97,19,0,0,clothing,2020-10-17
Houdini Outright Houdi - Men's,Houdini,149.94,44,0,0,clothing,2020-10-17
MEC Mica 2 Straight Leg Pants - Men's,MEC,79.95,53,4.7,3,clothing,2020-10-17
MEC Classic Graphic T-shirt - Men's,MEC,24.95,0,3.2,11,clothing,2020-10-17
Castelli Lightness 2 Gloves - Men's,Castelli,49.95,0,0,0,clothing,2020-10-17
MEC Surprise Mitts - Men's,MEC,39.95,0,3.3,6,clothing,2020-10-17
Patagonia Silent Down Shirt - Men's,Patagonia,285,30,0,0,clothing,2020-10-17
MEC Core Train Long Sleeve T-Shirt - Men's,MEC,44.95,0,4.1,8,clothing,2020-10-17
Fjallraven Canada Shirt - Men's,Fjallraven,184.95,0,3.5,2,clothing,2020-10-17
"Prana Vaha Pants (32"" Inseam) - Men's",Prana,71.97,20,5,1,clothing,2020-10-17
Saxx Quest 2.0 Boxers - Men's,Saxx,34.95,0,4.8,12,clothing,2020-10-17
MEC All Day Active V-Neck T-shirt - Men's,MEC,32.95,0,4,4,clothing,2020-10-17
MEC Classic Long Sleeve T-shirt - Men's,MEC,19.95,0,4.2,8,clothing,2020-10-17
MEC Travel Light Jacket - Men's,MEC,39.93,50,5,1,clothing,2020-10-17
Arc'teryx Covert Hoody - Men's,Arc'teryx,219.95,0,4.5,46,clothing,2020-10-17
DU/ER Adventure Pants - Men's,DU/ER,147.95,0,4.7,10,clothing,2020-10-17
MEC Trax Nordic Soft Shell Jacket - Men's,MEC,144.95,0,3.7,3,clothing,2020-10-17
MEC All Day Essentials Short Sleeve T-Shirt - Men's,MEC,32.95,0,4,4,clothing,2020-10-17
Patagonia Terrebonne Joggers - Men's,Patagonia,99,0,4,1,clothing,2020-10-17
Black Diamond Guide Gloves - Men's,Black Diamond,194.95,0,4,27,clothing,2020-10-17
Showers Pass Atlas Jacket - Men's,Showers Pass,394.95,0,4.7,18,clothing,2020-10-17
Brooks Distance Long Sleeve Top - Men's,Brooks,43.95,0,4.9,19,clothing,2020-10-17
MEC In-Flight Pants - Men's,MEC,79.95,0,4.3,3,clothing,2020-10-17
Vuori Ponto Performance Pants - Men's,Vuori,104.95,0,5,1,clothing,2020-10-17
Smartwool Merino 250 Baselayer Colorblock Long Sleeve Crew - Men's,Smartwool,139.95,0,0,0,clothing,2020-10-17
MEC T1 Long Johns - Men's,MEC,24.95,0,4.2,8,clothing,2020-10-17
Arc'teryx Atom AR Hoody - Men's,Arc'teryx,369.95,0,4.7,125,clothing,2020-10-17
Patagonia 3-in-1 Snowshot Jacket - Men's,Patagonia,349.3,30,3,2,clothing,2020-10-17
Brooks Dash Half Zip Long Sleeve Top - Men's,Brooks,69.95,0,4.5,13,clothing,2020-10-17
MEC Transference Reversible Down Jacket - Men's,MEC,79.98,68,3.3,7,clothing,2020-10-17
Arc'teryx Russet Pants - Men's,Arc'teryx,159.95,0,4.3,7,clothing,2020-10-17
MEC Overland Stretch Shirt - Men's,MEC,74.95,0,3.7,3,clothing,2020-10-17
MEC Core Train Short Sleeve T-Shirt - Men's,MEC,39.95,0,4.6,8,clothing,2020-10-17
