,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
The North Face Reversible Mossbud Swirl Jacket - Girls' - Children,The North Face,79.97,20,0,0,kids,2020-10-17
Patagonia 4-in-1 Everyday Jacket - Girls' - Children to Youths,Patagonia,209,0,5,1,kids,2020-10-17
Hydro Flask 354ml Wide Mouth Kids Bottle - Children to Youths,Hydro Flask,35.95,0,4.1,103,kids,2020-10-17
Nalgene MEC Facing Sunrise Widemouth Bottle,Nalgene,16.95,0,0,0,kids,2020-10-17
Smartwool Hike Medium Margarita Crew Socks - Children to Youths,Smartwool,16.95,0,0,0,kids,2020-10-17
Sombrio Grom's Prodigy Gloves - Children to Youths,Sombrio,27.95,0,3,2,kids,2020-10-17
Wigwam Merino Comfort Hiker Socks 2-Pack - Children to Youths,Wigwam,24.95,0,0,0,kids,2020-10-17
MEC Movement Joggers - Boys' - Youths,MEC,26.94,40,0,0,kids,2020-10-17
MEC Midweight Underwear Crew - Youths,MEC,19.58,44,4.7,11,kids,2020-10-17
Sorel Cumberland Winter Boots - Youths,Sorel,79.95,0,0,0,kids,2020-10-17
Slackers Ninjaline 36' Intro Kit with 7 Obstacles,Slackers,129.95,0,4,2,kids,2020-10-17
MEC Merino Long Sleeve Crew - Infants,MEC,34.95,0,4,3,kids,2020-10-17
MEC Merino Leggings - Infants,MEC,29.95,0,0,0,kids,2020-10-17
Jansport Agave Daypack - Unisex,Jansport,51.93,35,4,3,kids,2020-10-17
MEC Ursus Jacket - Infants,MEC,34.95,0,4.8,15,kids,2020-10-17
Nalgene On-The-Fly Bottle 650ml,Nalgene,14.95,0,4.1,40,kids,2020-10-17
Patagonia Refugio Pack 26L - Women's,Patagonia,109,0,4.5,6,kids,2020-10-17
The North Face Glacier Full Zip Hoodie - Children,The North Face,39.97,20,1,1,kids,2020-10-17
Kombi Candy Man Hat - Children,Kombi,22.95,0,0,0,kids,2020-10-17
Teva Hurricane XLT 2 Sandals - Children to Youths,Teva,64.95,0,4.6,709,kids,2020-10-17
The North Face Glacier Quarter Snap - Girls' - Youths,The North Face,59.99,0,0,0,kids,2020-10-17
Kamik Stomp Rain Boots - Children to Youths,Kamik,32.95,0,3.7,3,kids,2020-10-17
Cotopaxi Batac 16L Pack - Del Dia - Unisex,Cotopaxi,79.95,0,4.7,6,kids,2020-10-17
MEC Bambini Bottoms - Infants,MEC,19.95,0,4.8,16,kids,2020-10-17
Timbuk2 Spire Pack - Unisex,Timbuk2,91.94,20,4.3,204,kids,2020-10-17
Kombi Reflective Pompom Hat - Children,Kombi,29.95,0,1,1,kids,2020-10-17
Kala Brand Music Co Waterman Ukulele,Kala,73.95,0,5,4,kids,2020-10-17
Sunday Afternoons Play Hat - Children to Youths,Sunday Afternoons,34.95,0,4.9,354,kids,2020-10-17
The North Face Faroe Beanie - Infants,The North Face,34.99,0,0,0,kids,2020-10-17
MEC Ursus Pants - Infants,MEC,24.95,0,4.3,3,kids,2020-10-17
MEC Jaden Short Sleeve T-Shirt - Children,MEC,11.93,40,4.2,4,kids,2020-10-17
