,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
MEC Ferrata Pants - Women's,MEC,129.95,0,4.5,12,clothing,2020-10-17
MEC All Day Essentials Mock Neck T-Shirt - Women's,MEC,39.95,0,5,2,clothing,2020-10-17
Tentree Burney Hoodie - Women's,Tentree,87.95,0,4.8,8,clothing,2020-10-17
Black Diamond Notion Sport Pants - Women's,Black Diamond,98.95,0,4.1,37,clothing,2020-10-17
Synergy Highland Dress - Women's,Synergy,89.95,0,0,0,clothing,2020-10-17
Darn Tough Twisted Garden Crew Light Socks - Women's,Darn Tough,27.95,0,0,0,clothing,2020-10-17
MEC Rad Pants - Women's,MEC,89.95,0,3.1,55,clothing,2020-10-17
Toad &Co Flextime Skinny Pants - Women's,Toad,99.95,51,5,2,clothing,2020-10-17
MEC Classic Stretch Short Sleeve V-Neck - Women's,MEC,21.95,0,3.6,9,clothing,2020-10-17
Fjallraven Keb Curved Trousers - Women's,Fjallraven,249.95,0,5,1,clothing,2020-10-17
Patagonia Yosemite Falls Trench - Women's,Patagonia,349,0,5,1,clothing,2020-10-17
Patagonia Capilene Midweight Long Sleeve Crew - Women's,Patagonia,75,0,0,0,clothing,2020-10-17
Vuori Halo Performance Hoodie - Women's,Vuori,109.95,0,4.8,5,clothing,2020-10-17
MEC Lodging Leggings - Women's,MEC,49.95,0,4.6,9,clothing,2020-10-17
Fjallraven Ovik Flannel Shirt - Women's,Fjallraven,94.95,0,0,0,clothing,2020-10-17
Darn Tough Phat Witch Crew Light Cushion Socks - Women's,Darn Tough,29.95,0,5,2,clothing,2020-10-17
Brooks Dare Racerback Bra - Women's,Brooks,84.95,31,2.2,110,clothing,2020-10-17
Rains Curve Jacket - Women's,Rains,159.95,0,5,1,clothing,2020-10-17
MEC Classic Stretch Tank Dress - Women's,MEC,19.93,67,3.8,6,clothing,2020-10-17
MEC All Day Essentials Seamless Y-Not Bra - Women's,MEC,34.95,0,3.7,7,clothing,2020-10-17
Patagonia Fitted Corduroy Pants - Women's,Patagonia,54.93,50,0,0,clothing,2020-10-17
Kari Traa Sigrun Hybrid - Women's,Kari Traa,36.93,57,5,1,clothing,2020-10-17
Salomon Comet Warm Tights - Women's,Salomon,79.95,0,2.3,3,clothing,2020-10-17
MEC New Beginnings T-Shirt - Women's,MEC,8.93,64,4.9,16,clothing,2020-10-17
MEC Sano Long Sleeve Shirt - Women's,MEC,29.93,54,4.3,6,clothing,2020-10-17
MEC Travel Light Jacket - Women's,MEC,49.93,38,0,0,clothing,2020-10-17
MEC Below Celsius Insulated Pants - Women's,MEC,189.95,0,2,1,clothing,2020-10-17
Darn Tough Vertex Ultra Light Cushion Crew - Women's,Darn Tough,25.95,0,5,1,clothing,2020-10-17
Arc'teryx Sabria Pants - Women's,Arc'teryx,149.95,30,4.3,48,clothing,2020-10-17
Armada Haven Crew - Women's,Armada,34.93,50,0,0,clothing,2020-10-17
Arc'teryx Delaney Leggings - Women's,Arc'teryx,99.95,0,4.4,21,clothing,2020-10-17
Smartwool Merino 150 Baselayer Short Sleeve - Women's,Smartwool,94.95,0,4.4,58,clothing,2020-10-17
Patagonia Houdini Jacket - Women's,Patagonia,125,0,4,5,clothing,2020-10-17
Showers Pass Transit Jacket CC - Women's,Showers Pass,199.95,0,4,2,clothing,2020-10-17
Darn Tough Bear Town Light Cushion Micro Crew Socks - Women's,Darn Tough,27.95,0,3,1,clothing,2020-10-17
Arc'teryx Atom LT Hoody - Women's,Arc'teryx,209.93,30,4.7,161,clothing,2020-10-17
Arc'teryx Solano Coat - Women's,Arc'teryx,319.95,0,5,3,clothing,2020-10-17
Arc'teryx Delta LT Hoody - Women's,Arc'teryx,169.95,0,4.6,10,clothing,2020-10-17
Arc'teryx Seyla Coat - Women's,Arc'teryx,599.95,30,3.6,10,clothing,2020-10-17
The North Face Mountain Sweatshirt Hoodie 3.0 - Women's,The North Face,199.99,52,3,1,clothing,2020-10-17
MEC Terrena Stretch Convertible Pants - Women's,MEC,44.93,50,4.1,7,clothing,2020-10-17
Houdini Power Houdi - Women's,Houdini,129.94,57,4,1,clothing,2020-10-17
Darn Tough Her Spur Light Cushion Hiker Boot Socks - Women's,Darn Tough,29.95,0,3,2,clothing,2020-10-17
Patagonia Maple Grove Jacket - Women's,Patagonia,220.5,30,4,1,clothing,2020-10-17
Indygena Turvata Liner Jacket - Women's,Indygena,111.98,60,2.7,3,clothing,2020-10-17
WrightSock Double Layer Coolmesh II Tab Socks - Women's,WrightSock,17.95,0,5,2,clothing,2020-10-17
Kari Traa Bavallen Jacket - Women's,Kari Traa,134.94,57,0,0,clothing,2020-10-17
Darn Tough Vertex Ultra Light Cushion No Show Running Socks - Women's,Darn Tough,22.95,0,5,2,clothing,2020-10-17
Patagonia Insulated Snowbelle Jacket - Women's,Patagonia,262.5,30,4,3,clothing,2020-10-17
Levis 311 Shaping Skinny Jeans - Women's,Levis,97.95,0,5,2,clothing,2020-10-17
Kari Traa Gjerald Long Jacket - Women's,Kari Traa,109.93,56,0,0,clothing,2020-10-17
MEC Peak Comfort Merino Warm 1/4 Zip Baselayer - Women's,MEC,119.95,0,0,0,clothing,2020-10-17
Kari Traa Lokke Pants - Women's,Kari Traa,134.95,0,0,0,clothing,2020-10-17
Coal Kate Toque - Women's,Coal,22.38,44,4,1,clothing,2020-10-17
