,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
Moon Cheese Pepper Jack,Moon Cheese,4.75,0,4.3,9,camping-and-hiking,kitchen-and-hydration,2020-10-20
Hydro Flask Flex Sip Lid,Hydro Flask,14.95,0,4.2,33,camping-and-hiking,kitchen-and-hydration,2020-10-20
Chuao Firecracker Dark Chocolate Bar,Chuao,6.00,0,5.0,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nuun Sport  & Caffeine Electrolyte Replacement Tablets Cherry Limeade,Nuun,8.95,0,4.7,6,camping-and-hiking,kitchen-and-hydration,2020-10-20
MSR MiniWorks EX Water Filter,MSR,119.95,0,4.2,156,camping-and-hiking,kitchen-and-hydration,2020-10-20
Chuao Mango Dark Chocolate Bar,Chuao,6.00,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Cola Me Happy Gel,GU,2.25,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Honey Stinger Gingersnap Waffle,Honey Stinger,2.05,0,4.5,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Happy Yak Blanquette of Chicken and Egg Noodles,Happy Yak,13.45,0,4.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Platypus GravityWorks 2.0L Filter System,Platypus,129.95,0,4.7,23,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Tri Berry Gel,GU,2.25,0,1.0,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Chuao Churro Dark Chocolate Bar,Chuao,6.00,0,4.8,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
GSI Glacier Stainless Steel Camp Cup,GSI,19.95,0,3.8,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
AlpineAire Strawberry Granola with Milk,AlpineAire,6.75,0,5.0,5,camping-and-hiking,kitchen-and-hydration,2020-10-20
Cocoa Camino Organic Fair Trade Salted Caramel Crunch Chocolate,Cocoa Camino,4.00,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Hydrapak Velocity Reservoir,Hydrapak,43.95,0,4.5,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Noble Jerky - Sweet BBQ,Noble,6.00,0,4.8,14,camping-and-hiking,kitchen-and-hydration,2020-10-20
Noble Jerky - Teriyaki,Noble,6.00,0,4.5,11,camping-and-hiking,kitchen-and-hydration,2020-10-20
Stasher Reusable Pocket Bag (2 Pack),Stasher,17.95,0,4.7,329,camping-and-hiking,kitchen-and-hydration,2020-10-20
Honey Stinger Chocolate Energy Gel,Honey Stinger,1.95,0,3.5,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Klean Kanteen Classic Stainless Steel Vacuum Insulated Bottle 950ml,Klean Kanteen,44.95,0,4.8,368,camping-and-hiking,kitchen-and-hydration,2020-10-20
Chuao Ravishing Rocky Road Chocolate Bar,Chuao,6.00,0,1.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
RXBAR Coconut Chocolate,RXBAR,2.95,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
GSI Java Press 30 oz,GSI,39.95,0,4.5,17,camping-and-hiking,kitchen-and-hydration,2020-10-20
Pristine ClO2 30ml Water Treatment,Pristine,22.00,0,4.2,52,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nalgene On-The-Fly Bottle 650ml,Nalgene,14.95,0,4.1,40,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Lemon Sublime Gel,GU,2.25,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
